time,ax,ay,az,atotal
0.017289161682128906,0.01,-0.02,0.1,0.1
0.01910710334777832,-0.08,0.03,0.12,0.14
0.022891998291015625,-0.09,-0.01,0.12,0.15
0.03277397155761719,0.03,0.01,0.09,0.09
0.04326510429382324,0.14,0.02,0.04,0.14
0.05333995819091797,0.19,0.0,0.03,0.19
0.06343507766723633,0.18,-0.03,0.04,0.18
0.07307624816894531,0.14,-0.04,0.05,0.15
0.0832819938659668,0.06,-0.03,0.08,0.1
0.09318399429321289,-0.05,-0.04,0.12,0.13
0.10312223434448242,-0.2,-0.17,0.16,0.3
0.1128702163696289,-0.27,-0.31,0.18,0.44
0.12384414672851562,-0.21,-0.33,0.16,0.42
0.13293027877807617,-0.14,-0.18,0.11,0.25
0.14308905601501465,-0.03,0.02,0.11,0.11
0.15295815467834473,0.06,0.18,0.06,0.19
0.1628561019897461,0.13,0.29,0.05,0.32
0.17314815521240234,0.16,0.33,0.06,0.37
0.18263816833496094,0.05,0.3,0.07,0.31
0.19307899475097656,-0.2,0.04,0.16,0.25
0.2026352882385254,-0.23,0.01,0.16,0.28
0.2127242088317871,-0.1,0.02,0.11,0.15
0.2224431037902832,0.02,0.02,0.08,0.08
0.23237109184265137,0.1,0.0,0.06,0.11
0.24229216575622559,0.13,-0.01,0.06,0.14
0.2523941993713379,0.08,-0.02,0.07,0.1
0.2622981071472168,-0.03,-0.01,0.09,0.09
0.27213001251220703,-0.1,0.0,0.12,0.15
0.28215694427490234,-0.13,0.0,0.13,0.18
0.29241418838500977,-0.1,0.0,0.11,0.14
0.30196619033813477,-0.02,-0.02,0.09,0.09
0.312075138092041,0.04,-0.03,0.09,0.1
0.32320308685302734,0.09,-0.01,0.06,0.1
0.33304405212402344,0.12,-0.01,0.05,0.13
0.3430962562561035,0.07,0.02,0.08,0.1
0.35306310653686523,-0.03,0.01,0.11,0.11
0.36286401748657227,-0.09,0.0,0.12,0.15
0.37303709983825684,-0.09,0.01,0.12,0.15
0.38306522369384766,-0.06,0.0,0.1,0.11
0.39287424087524414,0.03,-0.01,0.09,0.09
0.40271615982055664,0.06,-0.01,0.06,0.08
0.41278815269470215,0.04,0.0,0.08,0.08
0.4227910041809082,-0.03,-0.01,0.1,0.1
0.43274593353271484,-0.06,0.0,0.11,0.12
0.44327211380004883,-0.03,-0.01,0.1,0.1
0.4526519775390625,0.01,0.0,0.09,0.09
0.4631052017211914,0.02,0.01,0.09,0.09
0.4727351665496826,0.01,0.01,0.09,0.09
0.48260927200317383,-0.02,0.0,0.09,0.09
0.49269914627075195,-0.05,-0.01,0.13,0.13
