time,ax,ay,az,atotal
0.01813197135925293,0.01,0.0,0.06,0.06
0.019824981689453125,-0.02,-0.01,0.1,0.1
0.021484851837158203,-0.02,-0.01,0.1,0.1
0.03161907196044922,-0.05,0.03,0.1,0.11
0.04167604446411133,-0.02,0.07,0.09,0.11
0.05188488960266113,0.02,0.03,0.08,0.08
0.06160092353820801,0.0,0.03,0.09,0.09
0.07154607772827148,0.03,0.01,0.1,0.1
0.08168888092041016,0.03,-0.01,0.12,0.12
0.09164690971374512,0.01,-0.1,0.1,0.14
0.1014249324798584,-0.07,-0.17,0.12,0.21
0.1115269660949707,0.0,-0.01,0.07,0.07
0.12138700485229492,0.02,0.0,0.06,0.06
0.1314859390258789,0.0,-0.01,0.08,0.08
0.14159584045410156,-0.01,0.0,0.08,0.08
0.1513957977294922,0.01,-0.01,0.09,0.09
0.16081595420837402,0.0,-0.01,0.1,0.1
0.1714630126953125,-0.02,-0.01,0.11,0.11
0.18197202682495117,-0.02,-0.02,0.1,0.1
0.19185209274291992,-0.01,-0.01,0.11,0.11
0.20144391059875488,-0.03,0.0,0.11,0.11
0.2116239070892334,-0.03,-0.01,0.11,0.11
0.22108888626098633,-0.02,-0.01,0.14,0.14
0.23044586181640625,0.01,-0.01,0.1,0.1
0.2398378849029541,0.04,-0.01,0.0,0.04
0.24962592124938965,0.04,-0.03,0.07,0.08
0.25949597358703613,-0.06,0.01,0.17,0.18
0.26999688148498535,-0.07,0.0,0.16,0.17
0.27951574325561523,-0.13,0.02,0.21,0.24
0.29003381729125977,-0.04,0.0,0.09,0.09
0.30057787895202637,0.05,-0.02,0.09,0.1
0.3107779026031494,0.06,-0.02,0.07,0.09
0.3214840888977051,0.06,-0.01,-0.1,0.11
0.3313579559326172,0.11,-0.03,-0.12,0.16
0.34163689613342285,-0.18,0.01,0.49,0.52
0.3514828681945801,0.04,-0.01,-0.04,0.05
0.36171889305114746,0.11,-0.03,-0.1,0.15
0.3713717460632324,-0.2,0.03,0.4,0.44
0.3802158832550049,0.01,0.0,0.06,0.06
0.3913087844848633,0.0,0.01,0.06,0.06
0.40165281295776367,-0.09,0.02,0.19,0.21
0.4116950035095215,-0.1,0.01,0.19,0.21
0.42121386528015137,0.08,0.0,0.01,0.08
0.43129682540893555,0.21,-0.03,-0.26,0.33
0.4413909912109375,0.03,-0.01,0.14,0.14
0.4511909484863281,-0.19,0.0,0.39,0.43
0.4612398147583008,0.14,-0.02,-0.16,0.21
0.4709458351135254,-0.03,-0.01,0.13,0.13
0.48077392578125,-0.02,-0.01,0.12,0.12
0.4908609390258789,0.03,-0.02,0.03,0.04
0.5004220008850098,0.01,-0.02,0.08,0.08
0.5113167762756348,-0.03,0.01,0.14,0.14
0.5207200050354004,-0.02,-0.01,0.14,0.14
0.530479907989502,-0.01,0.01,0.09,0.09
0.5404200553894043,-0.01,0.01,0.13,0.13
0.5503659248352051,-0.01,0.0,0.09,0.09
0.5608358383178711,-0.01,0.0,0.09,0.09
0.5704498291015625,0.01,-0.02,0.08,0.08
0.5802397727966309,0.0,-0.02,0.08,0.08
0.5903909206390381,-0.01,0.0,0.1,0.1
0.6005830764770508,-0.01,0.0,0.1,0.1
0.6106619834899902,0.0,-0.01,0.08,0.08
0.6203250885009766,-0.01,-0.01,0.11,0.11
0.6302599906921387,0.0,-0.01,0.11,0.11
0.6402969360351562,0.0,-0.01,0.08,0.08
0.6492390632629395,0.0,-0.03,0.07,0.07
0.6583137512207031,0.0,0.0,0.09,0.09
0.6676220893859863,0.0,0.0,0.08,0.08
0.6775379180908203,-0.01,0.0,0.08,0.08
0.6877098083496094,0.01,0.02,0.07,0.07
0.6978960037231445,-0.03,0.03,0.12,0.12
0.7086648941040039,-0.02,0.03,0.11,0.11
0.7188529968261719,0.0,0.01,0.08,0.08
0.7294669151306152,-0.01,0.0,0.1,0.1
0.7399678230285645,-0.02,-0.01,0.09,0.09
0.7498159408569336,-0.01,-0.03,0.1,0.1
0.7599568367004395,0.01,-0.04,0.08,0.09
0.7698519229888916,-0.01,-0.04,0.1,0.1
0.779541015625,0.0,-0.03,0.1,0.1
0.7895228862762451,0.0,-0.02,0.09,0.09
0.799454927444458,-0.01,-0.02,0.1,0.1
0.8097679615020752,-0.01,0.0,0.08,0.08
0.819450855255127,-0.01,0.02,0.1,0.1
0.8295478820800781,0.0,0.02,0.09,0.09
0.8394029140472412,-0.01,0.02,0.1,0.1
0.8491659164428711,-0.01,0.02,0.09,0.09
0.8591048717498779,-0.01,0.0,0.1,0.1
0.8691668510437012,0.0,-0.01,0.09,0.09
0.8794128894805908,0.01,-0.02,0.09,0.09
0.8889479637145996,-0.01,-0.03,0.1,0.1
0.8991279602050781,-0.01,-0.03,0.1,0.1
0.9090628623962402,-0.01,-0.02,0.1,0.1
0.9189419746398926,0.0,-0.02,0.08,0.08
0.9289908409118652,-0.01,-0.01,0.09,0.09
0.9389889240264893,0.0,-0.01,0.1,0.1
0.9488377571105957,-0.01,-0.01,0.1,0.1
0.9587419033050537,-0.02,-0.01,0.09,0.09
0.9686288833618164,-0.01,-0.02,0.09,0.09
0.9786958694458008,0.0,-0.03,0.08,0.08
0.988764762878418,0.0,-0.03,0.09,0.09
0.998682975769043,0.0,-0.02,0.09,0.09
1.0089640617370605,-0.01,-0.02,0.1,0.1
1.0173208713531494,-0.01,0.0,0.1,0.1
1.0265519618988037,0.0,0.01,0.1,0.1
1.0360088348388672,0.0,0.02,0.1,0.1
1.0457367897033691,-0.01,0.04,0.09,0.09
1.0588738918304443,-0.01,0.03,0.11,0.11
1.0682477951049805,-0.01,0.02,0.09,0.09
1.0781807899475098,-0.01,0.02,0.09,0.09
1.0880718231201172,-0.01,0.01,0.1,0.1
1.0982298851013184,-0.01,0.0,0.09,0.09
1.1081619262695312,-0.01,-0.02,0.12,0.12
1.117602825164795,0.0,-0.02,0.1,0.1
1.1282539367675781,-0.01,-0.03,0.1,0.1
1.1379649639129639,-0.01,-0.03,0.09,0.09
1.1476860046386719,0.0,-0.02,0.09,0.09
1.1575579643249512,-0.01,-0.01,0.09,0.09
1.167726993560791,0.01,-0.01,0.08,0.08
1.177858829498291,0.0,-0.01,0.08,0.08
1.187903881072998,0.0,0.0,0.1,0.1
1.1976227760314941,0.0,0.01,0.11,0.11
1.2077789306640625,-0.01,0.01,0.1,0.1
1.2176148891448975,-0.01,0.0,0.11,0.11
1.227797031402588,0.0,0.0,0.09,0.09
1.2372417449951172,-0.01,0.0,0.09,0.09
1.2473149299621582,-0.01,-0.01,0.11,0.11
1.257300853729248,-0.02,-0.02,0.12,0.12
1.2675228118896484,-0.02,-0.02,0.1,0.1
1.2776618003845215,-0.01,-0.03,0.1,0.1
1.2872779369354248,0.0,-0.03,0.07,0.07
1.297461986541748,0.01,-0.04,0.07,0.08
1.30718994140625,-0.01,-0.02,0.09,0.09
1.3172788619995117,-0.02,-0.02,0.1,0.1
1.3275628089904785,0.0,0.0,0.09,0.09
1.337069034576416,-0.01,0.01,0.1,0.1
1.34698486328125,-0.01,0.02,0.08,0.08
1.3569250106811523,-0.02,0.03,0.12,0.12
1.3670997619628906,0.0,0.02,0.09,0.09
1.3770618438720703,-0.01,0.01,0.1,0.1
1.3868029117584229,-0.01,0.0,0.09,0.09
1.3969199657440186,-0.01,-0.01,0.09,0.09
1.4067940711975098,-0.01,-0.01,0.09,0.09
1.4165658950805664,-0.01,-0.02,0.09,0.09
1.4267358779907227,-0.01,-0.01,0.1,0.1
1.4364280700683594,0.0,-0.01,0.09,0.09
