time,ax,ay,az,atotal
0.005873680114746094,0.04,0.02,0.07,0.08
0.014693737030029297,0.22,0.0,0.05,0.22
0.023907899856567383,0.26,0.01,0.0,0.26
0.03383970260620117,0.19,-0.01,0.02,0.19
0.04396986961364746,0.01,-0.02,0.1,0.1
0.05412769317626953,-0.13,-0.02,0.14,0.19
0.06446695327758789,-0.13,-0.03,0.13,0.18
0.07426285743713379,-0.02,-0.03,0.11,0.11
0.08408880233764648,0.08,-0.02,0.07,0.1
0.09431982040405273,0.07,-0.02,0.07,0.1
0.1039278507232666,-0.02,-0.01,0.1,0.1
0.11411094665527344,-0.08,-0.01,0.13,0.15
0.12407970428466797,-0.04,0.0,0.1,0.1
0.13379669189453125,0.01,0.0,0.07,0.07
0.14403390884399414,0.03,0.02,0.08,0.08
0.15364694595336914,0.02,0.03,0.1,0.1
0.16380596160888672,-0.02,0.03,0.1,0.1
0.1736907958984375,-0.03,0.02,0.1,0.1
0.18360090255737305,0.0,0.0,0.11,0.11
0.19377899169921875,0.01,0.0,0.09,0.09
0.2035369873046875,0.01,-0.02,0.09,0.09
0.21334385871887207,-0.01,-0.02,0.09,0.09
0.2234177589416504,-0.02,-0.02,0.1,0.1
0.23322200775146484,0.0,-0.02,0.09,0.09
0.2433919906616211,-0.01,-0.01,0.09,0.09
0.2531168460845947,-0.01,-0.02,0.09,0.09
0.26320695877075195,-0.01,0.0,0.09,0.09
0.27315783500671387,0.01,0.0,0.09,0.09
0.2831308841705322,0.0,0.02,0.09,0.09
0.29305601119995117,0.0,0.01,0.09,0.09
0.30286598205566406,-0.01,0.01,0.1,0.1
0.3145108222961426,-0.01,0.02,0.1,0.1
0.32482194900512695,-0.01,0.01,0.1,0.1
0.33491086959838867,-0.01,0.01,0.1,0.1
0.34470081329345703,-0.02,0.01,0.11,0.11
0.3545868396759033,0.0,-0.01,0.08,0.08
0.3645808696746826,0.01,-0.02,0.08,0.08
0.37500882148742676,0.0,-0.03,0.09,0.09
0.3842787742614746,0.02,-0.03,0.09,0.09
0.3947598934173584,0.01,-0.02,0.08,0.08
0.40438270568847656,0.0,-0.01,0.09,0.09
0.41443395614624023,0.01,-0.02,0.09,0.09
0.4241819381713867,0.01,-0.01,0.08,0.08
0.4341268539428711,0.01,0.0,0.1,0.1
0.4442019462585449,0.01,0.02,0.1,0.1
0.4539017677307129,0.01,0.02,0.09,0.09
0.46503686904907227,-0.03,0.04,0.09,0.1
0.474301815032959,-0.04,0.03,0.1,0.11
0.48426389694213867,-0.03,0.02,0.11,0.11
0.49411988258361816,-0.02,0.0,0.1,0.1
0.5037868022918701,-0.01,0.0,0.1,0.1
0.5137808322906494,0.0,0.0,0.1,0.1
0.5239987373352051,0.01,-0.02,0.09,0.09
0.533627986907959,0.01,-0.03,0.07,0.07
0.5442767143249512,0.0,-0.03,0.08,0.08
0.5535969734191895,-0.02,-0.02,0.1,0.1
0.5637238025665283,-0.01,-0.01,0.09,0.09
0.5735259056091309,-0.01,-0.01,0.1,0.1
0.5836808681488037,-0.01,-0.01,0.11,0.11
0.5934739112854004,0.0,0.01,0.11,0.11
0.6033649444580078,0.0,0.01,0.09,0.09
0.6134510040283203,0.01,0.03,0.09,0.09
0.6236157417297363,0.01,0.01,0.1,0.1
0.6333327293395996,-0.01,0.0,0.09,0.09
0.6433658599853516,-0.02,0.0,0.09,0.09
0.6531167030334473,-0.01,-0.01,0.09,0.09
0.6635189056396484,0.01,-0.01,0.09,0.09
0.6733767986297607,0.0,-0.03,0.08,0.08
0.6828789710998535,-0.01,-0.03,0.1,0.1
0.6930737495422363,-0.01,-0.01,0.11,0.11
0.7030248641967773,0.0,-0.01,0.1,0.1
0.7133297920227051,0.0,0.0,0.09,0.09
0.7230358123779297,-0.01,0.01,0.1,0.1
0.7328388690948486,-0.02,0.01,0.09,0.09
0.7426848411560059,-0.01,0.01,0.09,0.09
0.7526729106903076,-0.01,0.02,0.1,0.1
0.7632107734680176,0.0,0.01,0.09,0.09
0.7728557586669922,0.0,0.0,0.1,0.1
0.7826268672943115,0.01,0.0,0.1,0.1
0.7925848960876465,-0.01,-0.01,0.08,0.08
0.8023889064788818,-0.02,-0.02,0.1,0.1
0.812889814376831,-0.02,-0.02,0.11,0.11
0.8222718238830566,-0.01,0.0,0.1,0.1
0.8325138092041016,-0.01,-0.01,0.08,0.08
0.8423399925231934,-0.01,0.0,0.09,0.09
0.8523397445678711,0.0,0.01,0.1,0.1
0.8626768589019775,0.01,0.01,0.09,0.09
